Date,Start Equity,End Equity,Sharpe Ratio,Sortino Ratio,Drawdown,Total Net Profit,Strategy
M1_20240930,192122.6926,195336.6743,1.0036,0.9316,0.041,0.0167,Creative Orange Bear
M1_20241031,196110.3365,198221.86,1.8358,2.3242,0.011,0.0108,Creative Orange Bear
M1_20241130,194380.5765,205836.8582,5.6112,8.1958,0.021,0.0589,Creative Orange Bear
M1_20241231,205836.8582,200938.8414,-1.9738,-1.7547,0.035,-0.0238,Creative Orange Bear
M3_20200131,100000.0,101990.0029,2.1425,1.9312,0.025,0.0199,Creative Orange Bear
M3_20200229,100000.0,90001.5395,-2.2759,-1.7912,0.145,-0.1,Creative Orange Bear
M3_20200331,100000.0,90001.5395,-1.9893,-1.2662,0.145,-0.1,Creative Orange Bear
M3_20200430,100164.0562,94959.8252,-0.8855,-0.6025,0.158,-0.052,Creative Orange Bear
M3_20200531,90001.5395,98471.9629,2.0728,1.9613,0.046,0.0941,Creative Orange Bear
M3_20200630,90001.5395,98939.8405,1.6784,1.5487,0.068,0.0993,Creative Orange Bear
M3_20200731,94096.8066,105131.3906,2.7821,2.5603,0.068,0.1173,Creative Orange Bear
M3_20200831,98471.9629,113583.6503,3.15,2.4221,0.068,0.1535,Creative Orange Bear
M3_20200930,100178.1505,108224.2124,1.6511,1.7439,0.093,0.0803,Creative Orange Bear
M3_20201031,105944.23,106365.6864,0.1347,0.1416,0.093,0.004,Creative Orange Bear
M3_20201130,113180.4058,118202.2336,0.6734,0.7933,0.093,0.0444,Creative Orange Bear
M3_20201231,109027.5547,121360.0273,2.5238,3.0088,0.072,0.1131,Creative Orange Bear
M3_20210131,106365.6864,120745.3479,3.7056,4.5963,0.037,0.1352,Creative Orange Bear
M3_20210228,117688.9871,124039.6451,1.2347,1.2023,0.037,0.054,Creative Orange Bear
M3_20210331,121965.1023,129053.9534,1.4269,1.6735,0.04,0.0581,Creative Orange Bear
M3_20210430,120745.3479,137189.7937,3.4488,4.385,0.04,0.1362,Creative Orange Bear
M3_20210531,124039.6451,137183.3698,2.2815,3.0991,0.039,0.106,Creative Orange Bear
M3_20210630,129567.8636,140093.1145,2.3561,2.7613,0.039,0.0812,Creative Orange Bear
M3_20210731,136303.2986,143576.5785,1.7144,2.0099,0.039,0.0534,Creative Orange Bear
M3_20210831,137183.3698,147997.7742,3.0821,3.8048,0.027,0.0788,Creative Orange Bear
M3_20210930,140209.1225,142716.8108,0.4116,0.4645,0.039,0.0179,Creative Orange Bear
M3_20211031,143576.5785,150734.0812,1.5972,1.8155,0.05,0.0499,Creative Orange Bear
M3_20211130,147781.8704,152463.6133,0.9517,0.9694,0.05,0.0317,Creative Orange Bear
M3_20211231,141000.2097,156741.6497,2.7084,3.4826,0.04,0.1116,Creative Orange Bear
M3_20220131,150734.0812,145643.4773,-0.6949,-0.9106,0.096,-0.0338,Creative Orange Bear
M3_20220228,149541.1889,144280.9422,-0.3805,-0.5533,0.115,-0.0352,Creative Orange Bear
M3_20220331,156352.354,151539.6875,-0.4243,-0.6259,0.127,-0.0308,Creative Orange Bear
M3_20220430,148225.8056,136342.5298,-1.1218,-1.5148,0.106,-0.0802,Creative Orange Bear
